actor_id,text,index_text,is_gt,manual_label_full,manual_label,topic,gpt_label,gpt_stance,gpt_topic
user_1,"RT @JGaffneyUSN: If only we were warned.  3 Wives No Dog 1 Impeachment Countless Affairs &amp; Abortions $1Billion in Debt 6 Bankruptcies 3,500…",1billion 500 abortions affairs amp bankruptcies countless debt dog impeachment rt warned wives,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_2,RT @NoahShachtman: NEW: Mike Pence is slinking away from his boss’ election ‘fraud’ train wreck.  “The vice president doesn’t want to go do…,boss do doesn election fraud mike new pence president rt slinking the train vice wreck,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_3,"RT @RBReich: Latest count: Biden wins by more than 7 million votes.  Biden 81,267,708  Trump 74,213,015   Biden's margin of victory is the…",015 213 267 708 74 81 biden biden biden count latest margin million rt the trump victory votes wins,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_4,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_5,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_6,RT @jacobsoboroff: Trump admin *just* turned over key data which could help locate some of the 628 unreachable parents who were separated f…,628 admin data just key locate parents rt separated trump turned unreachable,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_7,"RT @AriBerman: It’s truly insane that Trump lost by 7 million votes nationwide, lost Electoral College 306-232, lost PA/WI/MI by 3x as much…",232 306 3x college electoral insane it lost lost lost mi million much nationwide pa rt trump votes wi,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_8,RT @MattNegrin: WASHINGTON (AP) — America’s ruling party condemns democratic process for 26th straight day after opposition leader won pres…,26th america ap condemns day democratic leader opposition party pres process rt ruling straight washington won,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_9,RT @funder: BREAKING: President-elect Biden will ask the nation to wear masks for his first 100 days in office. This is true leadership. Th…,100 biden breaking days elect leadership masks nation office president rt th true wear,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_10,RT @abc7newsbayarea: The San Jose teen who painted portraits of President-elect Joe Biden and VP-elect Kamala Harris has another reason to…,biden elect elect harris joe jose kamala painted portraits president reason rt san teen to vp,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
